"YEAR","ECODISTRIC","Province_ID","AGR_t_all","BGR_t_all","ligfr.wa","nfr.wa","Corrected_Area","AreaIncSF_ha","SummerFallow_Ha"
"1976",244,"AB",0.667559962288912,0.335697731113595,0.0598,0.0081,414.99599,569.52525,154.52926
"1976",244,"BC",0.702306658634721,0.390348651143759,0.0535,0.0081,52.20241,71.13046,18.92805
"1977",244,"AB",0.838478138134891,0.438652507216233,0.0603,0.0081,441.88298,613.68472,171.80174
"1977",244,"BC",0.834177818317445,0.444575397223074,0.054,0.0081,49.19468,66.33368,17.139
"1978",244,"AB",0.934422817978012,0.521407098876124,0.0593,0.0081,456.64467,650.00676,193.36209
"1978",244,"BC",0.787125686313927,0.410684600198367,0.0544,0.0081,45.77512,61.32784,15.55272
"1979",244,"AB",0.941795224721411,0.686443146343701,0.0597,0.0081,485.90468,695.07157,209.16689
"1979",244,"BC",0.909757769702089,0.472956972493919,0.0544,0.0081,42.06379,56.2409,14.17711
"1980",244,"AB",0.948468743939995,0.550440644246453,0.0598,0.0081,514.18299,740.65204,226.46905
"1980",244,"BC",0.948468743939995,0.507716507056406,0.0551,0.0081,36.45636,48.79987,12.34351
"1981",244,"AB",0.770229451219822,0.387156109204622,0.0591,0.0081,527.59259,776.66907,249.07648
"1981",244,"BC",0.705733978155711,0.34062164377774,0.0559,0.0081,33.47519,44.15805,10.68286
"1982",244,"AB",0.851396735151947,0.435158253008856,0.0601,0.0081,572.46652,830.21842,257.7519
"1982",244,"BC",0.77018154807253,0.381968237524181,0.0546,0.0081,44.62712,64.13844,19.51132
"1983",244,"AB",0.966006751147089,0.49293878793059,0.0604,0.008,605.01252,877.07134,272.05882
"1983",244,"BC",0.966006751147089,0.50835585212958,0.0535,0.008,59.61774,88.1304,28.51266
"1984",244,"AB",0.915652930987558,0.460321974989849,0.0596,0.008,625.45455,921.78185,296.3273
"1984",244,"BC",0.807097550749587,0.40671058915625,0.0536,0.008,73.70143,112.30094,38.59951
"1985",244,"AB",0.701571907568595,0.346645083081083,0.0593,0.008,655.41184,968.17823,312.76639
"1985",244,"BC",0.694891571898871,0.347758969267672,0.0536,0.0079,89.97669,138.22011,48.24342
"1986",244,"AB",0.878820442158405,0.44736079198281,0.0588,0.008,672.34753,1004.05447,331.70694
"1986",244,"BC",0.834349884007578,0.440900310263716,0.0534,0.0079,106.06739,164.06885,58.00146
"1987",244,"AB",0.919808968149105,0.466846123184071,0.0586,0.008,670.86259,983.54767,312.68508
"1987",244,"BC",0.797613406120944,0.410735956412021,0.0544,0.0079,91.47557,150.84621,59.37064
"1988",244,"AB",1.05677139633592,0.585606955144562,0.0584,0.008,671.98078,963.30354,291.32276
"1988",244,"BC",0.762010875200524,0.402124548579252,0.0563,0.008,80.86602,143.32405,62.45803
"1989",244,"AB",0.954733559449772,0.493768325212095,0.0581,0.008,667.05022,938.23897,271.18875
"1989",244,"BC",0.688952692827824,0.355792079553394,0.0591,0.008,67.06806,131.53707,64.46901
"1990",244,"AB",0.911398876564648,0.455455881606745,0.058,0.0079,667.3015,918.05596,250.75446
"1990",244,"BC",0.590483133501734,0.30224423452556,0.0639,0.0081,53.84636,121.1024,67.25604
"1991",244,"AB",0.940251637914017,0.465744066495915,0.0579,0.0079,729.95671,982.53186,252.57515
"1991",244,"BC",0.868340824725904,0.462833121676457,0.073,0.0083,110.65825,182.42624,71.76799
"1992",244,"AB",0.734077629954503,0.366761933202596,0.059,0.0079,782.5496,1049.97105,267.42145
"1992",244,"BC",0.527215269009676,0.288258226473969,0.0689,0.0083,37.82262,95.89293,58.07031
"1993",244,"AB",1.0484792146793,0.538520386626026,0.0592,0.0079,838.54373,1112.47582,273.93209
"1993",244,"BC",0.721046176914332,0.433410407492534,0.0629,0.0083,36.72229,79.39773,42.67544
"1994",244,"AB",1.25112163705543,0.656844941041903,0.0595,0.0079,899.92156,1187.50569,287.58413
"1994",244,"BC",0.772009163113738,0.468585784508875,0.0578,0.0083,33.8181,62.27489,28.45679
"1995",244,"AB",1.26329024509633,0.665851621410149,0.0596,0.0079,956.03823,1256.05678,300.01855
"1995",244,"BC",0.742959245774291,0.448783096427846,0.0533,0.0083,33.00107,50.30308,17.30201
"1996",244,"AB",1.09268517796325,0.543836452180151,0.0596,0.0078,1013.76138,1327.53229,313.77091
"1996",244,"BC",0.487091879850065,0.294522275417281,0.0492,0.0083,32.33334,39.48033,7.14699
"1997",244,"AB",1.12075463955209,0.569071480516119,0.0594,0.0078,1051.68414,1376.69218,325.00804
"1997",244,"BC",0.467966996374251,0.292225246520835,0.0465,0.0082,24.17183,33.33152,9.15969
"1998",244,"AB",1.25861801291313,0.646264288291913,0.0587,0.0079,1065.96942,1400.4393,334.46988
"1998",244,"BC",0.618139357349152,0.408593573227743,0.0465,0.0082,20.7903,31.96861,11.17831
"1999",244,"AB",1.25539397733286,0.645465164881421,0.0585,0.0079,1107.60831,1457.15678,349.54847
"1999",244,"BC",0.521193492384672,0.340172789909754,0.047,0.0081,19.05965,32.0635,13.00385
"2000",244,"AB",1.21558914467194,0.618897318739982,0.0583,0.0079,1147.74604,1514.66997,366.92393
"2000",244,"BC",0.495952875588468,0.315220159686491,0.0472,0.008,17.19283,33.04459,15.85176
"2001",244,"AB",0.992759449698281,0.500663427295259,0.0581,0.0079,1127.0929,1498.50064,371.40774
"2001",244,"BC",0.469107926572903,0.277999864977775,0.0476,0.0079,14.91149,33.51845,18.60696
"2002",244,"AB",0.827459804548296,0.425927369449217,0.0584,0.0079,1080.59303,1414.31725,333.72422
"2002",244,"BC",0.673534191659485,0.393790376090096,0.0473,0.0081,14.67598,30.82008,16.1441
"2003",244,"AB",1.08923908168442,0.565443859136946,0.059,0.0079,1028.72559,1323.02219,294.2966
"2003",244,"BC",0.796375792951144,0.450815900936739,0.0476,0.0082,15.96553,30.1789,14.21337
"2004",244,"AB",1.17761260947223,0.610802981194776,0.0607,0.0079,1014.74504,1271.1602,256.41516
"2004",244,"BC",0.643676765504579,0.325779929328743,0.0476,0.0083,15.90604,27.75943,11.85339
"2005",244,"AB",1.42937429928092,0.781494182746105,0.0613,0.0079,960.82054,1175.35471,214.53417
"2005",244,"BC",0.829183106314224,0.406937331507203,0.0492,0.0084,18.20408,27.88278,9.6787
"2006",244,"AB",1.21302130293439,0.627786762238543,0.0617,0.0078,878.64709,1050.51428,171.86719
"2006",244,"BC",0.549384010682284,0.261873302443375,0.0495,0.0084,21.64886,29.09951,7.45065
"2007",244,"AB",1.43356062630296,0.75769545588497,0.0618,0.0078,860.22271,1004.63231,144.4096
"2007",244,"BC",0.977167620930153,0.48836629886542,0.0496,0.0084,17.98472,26.14996,8.16524
"2008",244,"AB",1.40771645054645,0.733987948324767,0.062,0.0078,857.85455,973.48359,115.62904
"2008",244,"BC",0.638273937705201,0.299951903338614,0.0478,0.0085,11.51411,20.73193,9.21782
"2009",244,"AB",1.32849431955205,0.67942788452808,0.0622,0.0079,848.57331,939.69019,91.11688
"2009",244,"BC",0.503323633786134,0.256724967494833,0.0477,0.0083,9.34269,19.66618,10.32349
"2010",244,"AB",1.14287567870565,0.575050653998684,0.0624,0.0079,836.55711,902.69273,66.13562
"2010",244,"BC",0.274094537068143,0.185013912863963,0.0466,0.008,5.5409,17.0014,11.4605
"2011",244,"AB",1.64776010011738,0.840849699900586,0.0625,0.0079,816.20269,857.46139,41.2587
"2011",244,"BC",0.347048948945296,0.286888661940936,0.047,0.0073,3.94081,16.73906,12.79825
"2012",244,"AB",1.69321757389063,0.868149757902241,0.0625,0.0079,876.53477,919.72571,43.19094
"2012",244,"BC",0.37891757743294,0.295618994926338,0.0468,0.0077,5.43726,16.15558,10.71832
"2013",244,"AB",1.785746211844,0.905525234204553,0.0626,0.0079,965.07381,1015.91647,50.84266
"2013",244,"BC",0.522482279103159,0.383478670630931,0.0467,0.0079,7.12212,15.68853,8.56641
"2014",244,"AB",1.65866823122589,0.850568512442652,0.0626,0.0079,1026.41749,1081.0945,54.67701
"2014",244,"BC",0.500971708531749,0.364276411274091,0.0466,0.0081,8.22376,15.09163,6.86787
"2015",244,"AB",1.58759159781994,0.803534754912015,0.0626,0.0079,1086.53122,1140.82618,54.29496
"2015",244,"BC",0.652329213425163,0.422957113212334,0.0464,0.0083,10.64038,15.65189,5.01151
"2016",244,"AB",1.72167979944897,0.89426126361633,0.0625,0.008,1149.76392,1204.38437,54.62045
"2016",244,"BC",0.734025579956836,0.489503904237081,0.0464,0.0084,12.46554,15.64931,3.18377
"2017",244,"AB",1.54947507211043,0.839618538398428,0.0604,0.008,1079.98881,1186.98353,106.99472
"2017",244,"BC",0.552573225720793,0.379206120726838,0.0464,0.0084,13.3069,16.68797,3.38107
"2018",244,"AB",1.42254790915661,0.829642110633768,0.0592,0.0079,1106.12454,1262.05899,155.93445
"2018",244,"BC",0.747191231289743,0.516148504514831,0.0464,0.0083,15.00238,18.76096,3.75858
"2019",244,"AB",1.15172575801563,0.723441349972878,0.0577,0.0079,1085.07192,1288.40205,203.33013
"2019",244,"BC",0.651332625233621,0.396501535144973,0.0463,0.0085,13.0005,15.97007,2.96957
"2020",244,"AB",0.981467326842714,0.654866498412928,0.0568,0.0079,1115.03412,1354.42831,239.39419
"2020",244,"BC",0.671638496378543,0.419918850290277,0.0463,0.0085,15.31693,18.48267,3.16574
"2021",244,"AB",0.991053945482179,0.654798052951386,0.0588,0.0079,1208.4859,1465.90388,257.41798
"2021",244,"BC",0.853274097871831,0.53481030884891,0.0463,0.0085,26.39219,31.6531,5.26091
"2022",244,"AB",0.980344019411391,0.693625357550506,0.055,0.0078,1204.6066,1480.68607,276.07947
"2022",244,"BC",0.791061642633675,0.47945373963608,0.0463,0.0085,27.66779,31.48633,3.81854
"1976",252,"BC",0.68015402509161,0.383186066545295,0.0508,0.0082,34.25307,50.25734,16.00427
"1977",252,"BC",0.779390145159477,0.417781314152169,0.0519,0.0081,31.58306,48.95355,17.37049
"1978",252,"BC",0.797049663984125,0.419074220187256,0.052,0.0082,32.40444,49.74,17.33556
"1979",252,"BC",0.941795224721411,0.622490660235401,0.0515,0.0083,32.06655,49.16147,17.09492
"1980",252,"BC",0.948468743939995,0.552789929673051,0.052,0.0083,34.12606,51.95358,17.82752
"1981",252,"BC",0.679445529142419,0.354400873803867,0.0523,0.0084,38.26561,56.73569,18.47008
"1982",252,"BC",0.968927669333757,0.515724558315829,0.0541,0.0083,48.21348,71.06878,22.8553
"1983",252,"BC",0.966006751147089,0.574181078557503,0.055,0.0083,56.5879,85.15011,28.56221
"1984",252,"BC",0.943651163613828,0.496563598678649,0.0554,0.0083,67.60456,100.44076,32.8362
"1985",252,"BC",0.659811856241442,0.344956387100491,0.0554,0.0083,61.05334,90.08991,29.03657
"1986",252,"BC",0.869312408633813,0.473367062709683,0.0559,0.0082,70.36879,102.63935,32.27056
"1987",252,"BC",0.832574987915089,0.449262969651384,0.0558,0.0082,65.58781,96.39625,30.80844
"1988",252,"BC",0.784685217912333,0.441173293945824,0.0554,0.0082,61.85096,91.83799,29.98703
"1989",252,"BC",0.827445733232529,0.465816540366656,0.055,0.0082,56.08979,84.20704,28.11725
"1990",252,"BC",0.800832660040694,0.434643377448713,0.0545,0.0081,50.72716,76.81202,26.08486
"1991",252,"BC",0.680808462887287,0.375027129412897,0.0536,0.0081,45.59651,71.74167,26.14516
"1992",252,"BC",0.460947107905359,0.258182592632061,0.0534,0.0081,46.39513,69.84673,23.4516
"1993",252,"BC",0.873463565080852,0.560621311221592,0.0526,0.0081,42.33526,62.3735,20.03824
"1994",252,"BC",0.920570968036352,0.541227378876041,0.0537,0.0081,45.01032,64.04252,19.0322
"1995",252,"BC",0.876663378347907,0.496368519211563,0.0518,0.0081,36.49995,50.39738,13.89743
"1996",252,"BC",0.417709336899576,0.256918186488409,0.0464,0.0082,24.83631,34.02532,9.18901
