year,ECODISTRIC,Province_ID,Texture,deltaSOCAdj
1990,1001,BC,coarse,0.059401853
1991,1001,BC,coarse,0.056004121
1992,1001,BC,coarse,0.016738531
1993,1001,BC,coarse,0.081763131
1994,1001,BC,coarse,0.114785433
1995,1001,BC,coarse,0.069710221
1996,1001,BC,coarse,0.175579953
1997,1001,BC,coarse,0.180553805
1998,1001,BC,coarse,0.135808986
1999,1001,BC,coarse,0.167644812
2000,1001,BC,coarse,0.127233508
2001,1001,BC,coarse,0.018382307
2002,1001,BC,coarse,0.07440634
2003,1001,BC,coarse,-0.034262229
2004,1001,BC,coarse,0.085393342
2005,1001,BC,coarse,0.018520643
2006,1001,BC,coarse,0.008722942
2007,1001,BC,coarse,-0.036842164
2008,1001,BC,coarse,0.059153109
2009,1001,BC,coarse,0.058232464
2010,1001,BC,coarse,0.054061819
2011,1001,BC,coarse,0.068601498
2012,1001,BC,coarse,0.138922782
2013,1001,BC,coarse,0.102873689
2014,1001,BC,coarse,0.167861011
2015,1001,BC,coarse,0.055178737
2016,1001,BC,coarse,0.184561406
2017,1001,BC,coarse,0.154346776
2018,1001,BC,coarse,0.041226735
2019,1001,BC,coarse,0.176589862
2020,1001,BC,coarse,0.060147941
2021,1001,BC,coarse,0.023486686
2022,1001,BC,coarse,0.075467127
1990,1001,BC,medium,-0.014978658
1991,1001,BC,medium,-0.02293916
1992,1001,BC,medium,-0.086187083
1993,1001,BC,medium,0.010441285
1994,1001,BC,medium,0.059693199
1995,1001,BC,medium,-0.012680667
1996,1001,BC,medium,0.146480033
1997,1001,BC,medium,0.153422049
1998,1001,BC,medium,0.084428945
1999,1001,BC,medium,0.132957688
2000,1001,BC,medium,0.07263237
2001,1001,BC,medium,-0.096519876
2002,1001,BC,medium,-0.014161483
2003,1001,BC,medium,-0.179877332
2004,1001,BC,medium,0.003854726
2005,1001,BC,medium,-0.097446727
2006,1001,BC,medium,-0.114017851
2007,1001,BC,medium,-0.185419357
2008,1001,BC,medium,-0.036126392
2009,1001,BC,medium,-0.034826878
2010,1001,BC,medium,-0.040901778
2011,1001,BC,medium,-0.018056978
2012,1001,BC,medium,0.092678571
2013,1001,BC,medium,0.033524646
2014,1001,BC,medium,0.130699923
2015,1001,BC,medium,-0.046049571
2016,1001,BC,medium,0.147596976
2017,1001,BC,medium,0.100389122
2018,1001,BC,medium,-0.070443949
2019,1001,BC,medium,0.138202134
2020,1001,BC,medium,-0.038192704
2021,1001,BC,medium,-0.099685504
2022,1001,BC,medium,-0.018407474
1990,1002,BC,coarse,0.00263621
1991,1002,BC,coarse,-0.021047971
1992,1002,BC,coarse,0.00081334
1993,1002,BC,coarse,0.127582391
1994,1002,BC,coarse,0.111912429
1995,1002,BC,coarse,0.107090101
1996,1002,BC,coarse,0.23520184
1997,1002,BC,coarse,0.188891415
1998,1002,BC,coarse,0.154780975
1999,1002,BC,coarse,0.155576834
2000,1002,BC,coarse,0.12075003
2001,1002,BC,coarse,-0.060837266
2002,1002,BC,coarse,-0.1886704
2003,1002,BC,coarse,-0.089276531
2004,1002,BC,coarse,0.020289226
2005,1002,BC,coarse,-0.002188494
2006,1002,BC,coarse,0.038724083
2007,1002,BC,coarse,0.016886964
2008,1002,BC,coarse,0.064162359
2009,1002,BC,coarse,0.063376132
2010,1002,BC,coarse,0.056284102
2011,1002,BC,coarse,0.030228949
