"ECODISTRIC","PROVINCE","TEXCAT","totalHec","CARB30","PERCECO","TCLAY","TSAND","sitename"
244,"AB","fine",342.38,4638.55,79.941161,25,20,"244_AB_fine"
244,"AB","medium",85.91,3120.06,20.058839,10,16,"244_AB_medium"
244,"BC","fine",1.7,2877,1.716652,21,6,"244_BC_fine"
244,"BC","medium",85.48,6004.2499017314,86.317278,8,29,"244_BC_medium"
252,"BC","medium",17.93,1772.05,100,11,38,"252_BC_medium"
371,"MB","fine",85.46,5828,100,60,9,"371_MB_fine"
374,"ON","coarse",11.1,5331.6,100,13,36,"374_ON_coarse"
375,"MB","coarse",1761.53,7023.5507314664,2.604904,10,75,"375_MB_coarse"
375,"MB","fine",44123.76,8748.79673699612,65.249064,68,5,"375_MB_fine"
375,"MB","medium",17640.17,6454.01767131496,26.085822,30,30,"375_MB_medium"
376,"MB","medium",20.9,4416.35870813397,100,13,65,"376_MB_medium"
378,"ON","coarse",396.64,5331.6,55.039201,13,36,"378_ON_coarse"
378,"ON","medium",324.01,9759.62359186445,44.9608,22,24,"378_ON_medium"
379,"MB","coarse",976.9,8868.06767325212,59.011859,7,86,"379_MB_coarse"
379,"MB","medium",677.26,4418.24192038508,40.911425,13,65,"379_MB_medium"
380,"MB","coarse",2128.71,9627.56906295362,44.16475,10,75,"380_MB_coarse"
380,"MB","fine",2559.29,6277.98555458741,53.098074,56,15,"380_MB_fine"
380,"MB","medium",131.6,4425.45,2.73033,13,65,"380_MB_medium"
381,"ON","medium",4287.91,11061.8181818182,100,14,19,"381_ON_medium"
383,"ON","coarse",158.65,5231.64795461708,5.23549,3,60,"383_ON_coarse"
383,"ON","medium",2871.63,9600.56706469845,94.76451,22,24,"383_ON_medium"
386,"ON","coarse",40.1,5331.6,100,13,36,"386_ON_coarse"
391,"ON","coarse",49.22,4170,100,3,60,"391_ON_coarse"
400,"ON","fine",982.79,10530,100,22,24,"400_ON_fine"
401,"ON","coarse",250.88,11586.6071308992,7.187077,14,65,"401_ON_coarse"
401,"ON","fine",2189.71,10530,62.729645,22,24,"401_ON_fine"
401,"ON","medium",1050.12,6917.16409553194,30.083278,14,19,"401_ON_medium"
401,"QC","fine",13552.02,16845.7903541317,85.354956,62,0,"401_QC_fine"
401,"QC","medium",2089.56,9747.95340071594,13.160717,6,50,"401_QC_medium"
402,"ON","medium",84.53,10530,100,22,24,"402_ON_medium"
407,"ON","coarse",213.68,13189.4461110071,54.116754,14,30,"407_ON_coarse"
407,"ON","fine",181.17,8163.53093779323,45.883247,38,13,"407_ON_fine"
408,"ON","medium",24957.99,10530,100,22,24,"408_ON_medium"
408,"QC","coarse",2778.71,8077.01757815677,13.509995,2,90,"408_QC_coarse"
408,"QC","fine",16472.15,13870.3302276873,80.087038,43,5,"408_QC_fine"
408,"QC","medium",837.11,9958.65083441842,4.07,25,24,"408_QC_medium"
408,"QC","na",443.89,22323.84,2.158178,26,7,"408_QC_na"
409,"ON","coarse",174.86,13544,14.741066,14,30,"409_ON_coarse"
409,"ON","medium",392.67,7474.02997427866,33.102907,21,35,"409_ON_medium"
410,"ON","coarse",32.54,9883.86186232329,24.69267,6,79,"410_ON_coarse"
410,"ON","medium",88.21,9707.58372066659,66.937319,22,24,"410_ON_medium"
411,"ON","coarse",4998.63,7711.03662503526,50.603255,15,53,"411_ON_coarse"
411,"ON","medium",3946.62,6513.54217026215,39.953311,14,19,"411_ON_medium"
412,"ON","fine",714.09,9802.8,80.000224,21,35,"412_ON_fine"
412,"ON","medium",178.52,7887,19.999776,23,23,"412_ON_medium"
413,"ON","coarse",3562.48,10199.3750070176,49.270311,6,79,"413_ON_coarse"
413,"ON","fine",447.31,4572.4,6.18645,36,25,"413_ON_fine"
413,"ON","medium",2034.58,8154.60508791003,28.138935,13,53,"413_ON_medium"
415,"QC","coarse",228.75,17036.66,52.020558,4,60,"415_QC_coarse"
415,"QC","medium",197.82,12670.8436907289,44.986696,11,62,"415_QC_medium"
418,"QC","coarse",491.16,6103.10001832397,4.240078,7,84,"418_QC_coarse"
418,"QC","fine",410.76,8372.12875791216,3.546002,35,16,"418_QC_fine"
418,"QC","medium",10675.03,8399.70614288672,92.155217,3,71,"418_QC_medium"
419,"QC","medium",144.41,13449.9,100,6,50,"419_QC_medium"
421,"QC","coarse",412.86,12060.9941859226,82.820462,4,85,"421_QC_coarse"
421,"QC","medium",85.64,12424.575,17.179539,11,62,"421_QC_medium"
422,"QC","coarse",18.57,31614.6,40.510471,5,76,"422_QC_coarse"
422,"QC","medium",27.27,13449.9,59.489529,6,50,"422_QC_medium"
423,"QC","coarse",1870.5,11121.8620773055,100,5,71,"423_QC_coarse"
424,"QC","coarse",309.73,8138.6,5.457067,5,71,"424_QC_coarse"
424,"QC","fine",1614.07,15987.9516873494,28.437954,22,28,"424_QC_fine"
424,"QC","medium",3751.96,11838.8567018305,66.10498,6,50,"424_QC_medium"
425,"QC","coarse",4877.63,10053.1021927042,23.687221,5,84,"425_QC_coarse"
425,"QC","fine",9001.73,12131.9609608375,43.715077,56,4,"425_QC_fine"
425,"QC","medium",6694.46,10027.9314772513,32.510289,3,91,"425_QC_medium"
426,"QC","coarse",365.21,14200.9370307494,8.377356,4,60,"426_QC_coarse"
426,"QC","medium",3994.28,10960.31363988,91.622644,6,50,"426_QC_medium"
431,"QC","medium",11.98,13449.9,100,6,50,"431_QC_medium"
438,"QC","coarse",143.91,13769.9908428879,69.217449,4,60,"438_QC_coarse"
438,"QC","medium",64,14275.52,30.78255,6,64,"438_QC_medium"
439,"QC","medium",58.22,12424.575,100,11,62,"439_QC_medium"
440,"QC","coarse",79.65,16445.25,72.251451,1,77,"440_QC_coarse"
440,"QC","medium",30.59,12424.575,27.748549,11,62,"440_QC_medium"
441,"QC","coarse",9018.34,13413.816768341,18.555595,6,75,"441_QC_coarse"
441,"QC","fine",5059.55,22337.2642201382,10.410227,27,10,"441_QC_fine"
441,"QC","medium",32434.67,9076.30212095576,66.735629,20,32,"441_QC_medium"
441,"QC","na",148.87,4916.25,0.306306,18,57,"441_QC_na"
455,"NF","coarse",336.04,15078.8,100,6,82,"455_NF_coarse"
458,"NF","coarse",16.9,6611.52,12.463127,13,40,"458_NF_coarse"
458,"NF","medium",118.7,7660.07585509688,87.536873,58,6,"458_NF_medium"
460,"NF","medium",12.72,13877.912,100,5,56,"460_NF_medium"
461,"NF","medium",29.19,10114.1646933881,100,7,55,"461_NF_medium"
462,"NF","medium",24,11187.84,100,5,61,"462_NF_medium"
463,"NF","medium",20.59,8513.23038950947,100,5,65,"463_NF_medium"
466,"NF","medium",154.97,6217.77838033168,100.000001,9,60,"466_NF_medium"
468,"NF","medium",78.71,4320,76.970467,9,43,"468_NF_medium"
471,"NF","coarse",13.58,7559.25773195876,34.695963,13,39,"471_NF_coarse"
471,"NF","medium",24.63,10703.4460414129,62.927951,11,52,"471_NF_medium"
475,"NF","coarse",155.9,5888.06286080821,86.361622,33,20,"475_NF_coarse"
475,"NF","medium",17.01,12394.4009570841,9.422778,20,40,"475_NF_medium"
477,"NF","coarse",1.08,24620.8,100,29,31,"477_NF_coarse"
478,"QC","coarse",376.35,5568.4,16.365747,12,59,"478_QC_coarse"
478,"QC","medium",1463.06,6449.91925525952,63.621816,15,42,"478_QC_medium"
478,"QC","na",460.21,7738.08,20.012437,29,44,"478_QC_na"
479,"QC","coarse",4882.86,8733.98111122375,11.12396,5,42,"479_QC_coarse"
479,"QC","fine",6198.16,15564.2077158383,14.120431,29,35,"479_QC_fine"
479,"QC","medium",32293.17,7223.78882795031,73.569163,25,37,"479_QC_medium"
481,"QC","medium",5009.81,8774.69316263491,100,22,19,"481_QC_medium"
482,"QC","coarse",28813.27,10858.4867161034,76.787164,8,68,"482_QC_coarse"
482,"QC","medium",8579.69,6132.14856212404,22.864815,25,34,"482_QC_medium"
482,"QC","na",130.59,4916.25,0.348021,18,57,"482_QC_na"
483,"QC","coarse",28816.58,13278.7357430687,68.498467,14,41,"483_QC_coarse"
483,"QC","medium",13252.36,19042.5004784054,31.50153,14,26,"483_QC_medium"
484,"NB","medium",62.45,7564.058,100,20,38,"484_NB_medium"
484,"QC","medium",3222.38,3880.85585560983,99.999999,21,45,"484_QC_medium"
485,"NB","coarse",136.98,6829.90397430282,34.515081,18,54,"485_NB_coarse"
485,"NB","medium",259.89,7660.40785870945,65.48492,19,50,"485_NB_medium"
486,"NB","coarse",693.16,5559.27100885798,11.74969,13,61,"486_NB_coarse"
486,"NB","medium",5206.23,8283.04399994238,88.250311,22,30,"486_NB_medium"
487,"NB","coarse",216.33,6290.90600933759,34.57463,14,55,"487_NB_coarse"
487,"NB","medium",409.36,9078.91468614423,65.425371,22,30,"487_NB_medium"
487,"QC","coarse",33.58,5605.02408576534,2.438246,9,58,"487_QC_coarse"
487,"QC","medium",1343.64,7037.78427290792,97.561755,15,42,"487_QC_medium"
488,"NB","coarse",6.65,8866.8,4.31622,17,46,"488_NB_coarse"
488,"NB","medium",147.42,10971.8239645231,95.68378,18,36,"488_NB_medium"
489,"NB","coarse",165.39,4363,17.862041,15,60,"489_NB_coarse"
489,"NB","medium",760.54,13162.8671911931,82.137959,18,40,"489_NB_medium"
490,"NB","coarse",162.76,6148.39418161711,27.323854,8,58,"490_NB_coarse"
490,"NB","medium",432.91,9082.6,72.676146,22,30,"490_NB_medium"
493,"NB","coarse",1671.49,6568.43966042274,9.699997,24,30,"493_NB_coarse"
493,"NB","fine",826.72,8509.23,4.797625,22,25,"493_NB_fine"
493,"NB","medium",14733.65,8743.13034088634,85.502377,22,30,"493_NB_medium"
494,"NB","medium",15373.69,8319.71009339983,99.435804,23,35,"494_NB_medium"
495,"NB","coarse",76.67,8168.85030650841,17.012071,15,52,"495_NB_coarse"
495,"NB","medium",374.01,7889.84067554343,82.98793,22,30,"495_NB_medium"
496,"NB","coarse",2274.67,5723.91837725472,83.854782,12,48,"496_NB_coarse"
496,"NB","fine",152.15,5159.07,5.608948,22,33,"496_NB_fine"
496,"NB","medium",285.81,7716.15941247682,10.536269,31,27,"496_NB_medium"
497,"NB","coarse",115.91,8828.83271503753,43.148569,20,52,"497_NB_coarse"
497,"NB","medium",152.72,7564.058,56.851431,20,38,"497_NB_medium"
498,"NB","coarse",157.92,5278.5,100,8,52,"498_NB_coarse"
499,"NB","coarse",27.89,6636.5954822517,9.9288,12,48,"499_NB_coarse"
499,"NB","fine",5.46,6379.834,1.943752,33,19,"499_NB_fine"
499,"NB","medium",247.55,6907.93020254494,88.127448,16,38,"499_NB_medium"
500,"NB","coarse",1694.89,5462.15465570037,76.982018,8,85,"500_NB_coarse"
500,"NB","fine",420.17,7023.40759395007,19.08415,20,17,"500_NB_fine"
500,"NB","medium",78.52,6663.03124707081,3.566384,23,11,"500_NB_medium"
501,"NB","coarse",68.2,6675.924,31.811185,10,64,"501_NB_coarse"
501,"NB","medium",140.59,5446.67654797638,65.576752,19,50,"501_NB_medium"
502,"NB","coarse",313.51,5450.97102114765,28.242362,9,80,"502_NB_coarse"
