year,TotSOC,SiteName,ECODISTRIC,CModel,deltaSOC,YEAR,Area_per_site_Ha,Province_ID,Texture,BDelta,deltaSOCAdj,CGainLoss_t
1990,46.06577148,1001_BC_coarse,1001,IPCC,-0.063000317,1990,422.1458093,BC,coarse,-0.12240217,0.059401853,25.07624339
1991,45.99937343,1001_BC_coarse,1001,IPCC,-0.066398049,1991,444.1415861,BC,coarse,-0.12240217,0.056004121,24.87375915
1992,45.89370979,1001_BC_coarse,1001,IPCC,-0.105663638,1992,456.0732463,BC,coarse,-0.12240217,0.016738531,7.633996332
1993,45.85307075,1001_BC_coarse,1001,IPCC,-0.040639038,1993,339.4497469,BC,coarse,-0.12240217,0.081763131,27.75447423
1994,45.84545401,1001_BC_coarse,1001,IPCC,-0.007616736,1994,334.9151068,BC,coarse,-0.12240217,0.114785433,38.44337572
1995,45.79276207,1001_BC_coarse,1001,IPCC,-0.052691948,1995,344.9569785,BC,coarse,-0.12240217,0.069710221,24.04702733
1996,45.84593985,1001_BC_coarse,1001,IPCC,0.053177783,1996,356.3501802,BC,coarse,-0.12240217,0.175579953,62.567948
1997,45.90409148,1001_BC_coarse,1001,IPCC,0.058151635,1997,366.0055996,BC,coarse,-0.12240217,0.180553805,66.08370357
1998,45.9174983,1001_BC_coarse,1001,IPCC,0.013406816,1998,392.0188025,BC,coarse,-0.12240217,0.135808986,53.23967614
1999,45.96274094,1001_BC_coarse,1001,IPCC,0.045242642,1999,502.3399046,BC,coarse,-0.12240217,0.167644812,84.21467886
2000,45.96757228,1001_BC_coarse,1001,IPCC,0.004831338,2000,490.3856896,BC,coarse,-0.12240217,0.127233508,62.39349162
2001,45.86355242,1001_BC_coarse,1001,IPCC,-0.104019863,2001,517.0364362,BC,coarse,-0.12240217,0.018382307,9.504322425
2002,45.81555659,1001_BC_coarse,1001,IPCC,-0.04799583,2002,467.616008,BC,coarse,-0.12240217,0.07440634,34.79359582
2003,45.65889219,1001_BC_coarse,1001,IPCC,-0.156664399,2003,434.1150281,BC,coarse,-0.12240217,-0.034262229,-14.87374844
2004,45.62188336,1001_BC_coarse,1001,IPCC,-0.037008828,2004,434.7578939,BC,coarse,-0.12240217,0.085393342,37.12542948
2005,45.51800183,1001_BC_coarse,1001,IPCC,-0.103881527,2005,438.2965179,BC,coarse,-0.12240217,0.018520643,8.117533426
2006,45.40432261,1001_BC_coarse,1001,IPCC,-0.113679228,2006,410.9542952,BC,coarse,-0.12240217,0.008722942,3.584730604
2007,45.24507827,1001_BC_coarse,1001,IPCC,-0.159244333,2007,322.172043,BC,coarse,-0.12240217,-0.036842164,-11.86951511
2008,45.18182921,1001_BC_coarse,1001,IPCC,-0.063249061,2008,260.340261,BC,coarse,-0.12240217,0.059153109,15.39993574
2009,45.11765951,1001_BC_coarse,1001,IPCC,-0.064169705,2009,236.2436199,BC,coarse,-0.12240217,0.058232464,13.75704821
2010,45.04931916,1001_BC_coarse,1001,IPCC,-0.068340351,2010,210.694661,BC,coarse,-0.12240217,0.054061819,11.3905366
2011,44.99551848,1001_BC_coarse,1001,IPCC,-0.053800672,2011,176.5738646,BC,coarse,-0.12240217,0.068601498,12.11323161
2012,45.0120391,1001_BC_coarse,1001,IPCC,0.016520612,2012,212.9792952,BC,coarse,-0.12240217,0.138922782,29.58767616
2013,44.99251062,1001_BC_coarse,1001,IPCC,-0.01952848,2013,229.0557294,BC,coarse,-0.12240217,0.102873689,23.56380794
2014,45.03796946,1001_BC_coarse,1001,IPCC,0.045458842,2014,249.9846187,BC,coarse,-0.12240217,0.167861011,41.96267092
2015,44.97074602,1001_BC_coarse,1001,IPCC,-0.067223433,2015,272.1007524,BC,coarse,-0.12240217,0.055178737,15.01417584
2016,45.03290526,1001_BC_coarse,1001,IPCC,0.062159236,2016,303.8361985,BC,coarse,-0.12240217,0.184561406,56.07643592
2017,45.06484987,1001_BC_coarse,1001,IPCC,0.031944607,2017,320.3347843,BC,coarse,-0.12240217,0.154346776,49.44264133
2018,44.98367443,1001_BC_coarse,1001,IPCC,-0.081175435,2018,396.2686522,BC,coarse,-0.12240217,0.041226735,16.33686272
2019,45.03786212,1001_BC_coarse,1001,IPCC,0.054187692,2019,442.6656862,BC,coarse,-0.12240217,0.176589862,78.17027233
2020,44.9756079,1001_BC_coarse,1001,IPCC,-0.062254228,2020,430.3335755,BC,coarse,-0.12240217,0.060147941,25.88367867
2021,44.87669241,1001_BC_coarse,1001,IPCC,-0.098915484,2021,509.1294539,BC,coarse,-0.12240217,0.023486686,11.95776373
2022,44.82975737,1001_BC_coarse,1001,IPCC,-0.046935043,2022,477.717096,BC,coarse,-0.12240217,0.075467127,36.05193659
1990,25.73596998,1001_BC_medium,1001,IPCC,0.011517674,1990,319.5754762,BC,medium,0.026496331,-0.014978658,-4.786811662
1991,25.73952715,1001_BC_medium,1001,IPCC,0.003557172,1991,336.2268576,BC,medium,0.026496331,-0.02293916,-7.71276155
1992,25.6798364,1001_BC_medium,1001,IPCC,-0.059690752,1992,345.2594381,BC,medium,0.026496331,-0.086187083,-29.75690388
1993,25.71677402,1001_BC_medium,1001,IPCC,0.036937617,1993,256.9723829,BC,medium,0.026496331,0.010441285,2.683122005
1994,25.80296355,1001_BC_medium,1001,IPCC,0.086189531,1994,253.5395411,BC,medium,0.026496331,0.059693199,15.13458637
1995,25.81677921,1001_BC_medium,1001,IPCC,0.013815665,1995,261.141502,BC,medium,0.026496331,-0.012680667,-3.311448364
1996,25.98975558,1001_BC_medium,1001,IPCC,0.172976364,1996,269.7664552,BC,medium,0.026496331,0.146480033,39.51539929
1997,26.16967396,1001_BC_medium,1001,IPCC,0.17991838,1997,277.0758616,BC,medium,0.026496331,0.153422049,42.50954646
1998,26.28059923,1001_BC_medium,1001,IPCC,0.110925277,1998,296.76854,BC,medium,0.026496331,0.084428945,25.05585488
1999,26.44005325,1001_BC_medium,1001,IPCC,0.159454019,1999,380.2845147,BC,medium,0.026496331,0.132957688,50.56174978
2000,26.53918195,1001_BC_medium,1001,IPCC,0.099128701,2000,371.2348597,BC,medium,0.026496331,0.07263237,26.96366771
2001,26.46915841,1001_BC_medium,1001,IPCC,-0.070023545,2001,391.4101756,BC,medium,0.026496331,-0.096519876,-37.77886178
2002,26.48149326,1001_BC_medium,1001,IPCC,0.012334848,2002,353.9976121,BC,medium,0.026496331,-0.014161483,-5.013131096
2003,26.32811226,1001_BC_medium,1001,IPCC,-0.153381,2003,328.6364895,BC,medium,0.026496331,-0.179877332,-59.1142548
2004,26.35846331,1001_BC_medium,1001,IPCC,0.030351058,2004,329.1231558,BC,medium,0.026496331,0.003854726,1.268679735
2005,26.28751292,1001_BC_medium,1001,IPCC,-0.070950396,2005,331.8019873,BC,medium,0.026496331,-0.097446727,-32.33301769
2006,26.1999914,1001_BC_medium,1001,IPCC,-0.087521519,2006,311.1032058,BC,medium,0.026496331,-0.114017851,-35.47131887
2007,26.04106837,1001_BC_medium,1001,IPCC,-0.158923026,2007,243.8927068,BC,medium,0.026496331,-0.185419357,-45.22242888
2008,26.03143831,1001_BC_medium,1001,IPCC,-0.009630061,2008,197.0844222,BC,medium,0.026496331,-0.036126392,-7.11994913
2009,26.02310777,1001_BC_medium,1001,IPCC,-0.008330547,2009,178.8426313,BC,medium,0.026496331,-0.034826878,-6.228530561
2010,26.00870232,1001_BC_medium,1001,IPCC,-0.014405447,2010,159.5013977,BC,medium,0.026496331,-0.040901778,-6.523890809
2011,26.01714167,1001_BC_medium,1001,IPCC,0.008439353,2011,133.6710578,BC,medium,0.026496331,-0.018056978,-2.413695371
2012,26.13631657,1001_BC_medium,1001,IPCC,0.119174902,2012,161.2309259,BC,medium,0.026496331,0.092678571,14.94265183
2013,26.19633755,1001_BC_medium,1001,IPCC,0.060020977,2013,173.4012092,BC,medium,0.026496331,0.033524646,5.81321408
2014,26.35353381,1001_BC_medium,1001,IPCC,0.157196255,2014,189.2449287,BC,medium,0.026496331,0.130699923,24.73429769
2015,26.33398057,1001_BC_medium,1001,IPCC,-0.01955324,2015,205.9874234,BC,medium,0.026496331,-0.046049571,-9.485632531
2016,26.50807387,1001_BC_medium,1001,IPCC,0.174093308,2016,230.0119904,BC,medium,0.026496331,0.147596976,33.94907431
2017,26.63495933,1001_BC_medium,1001,IPCC,0.126885453,2017,242.5018536,BC,medium,0.026496331,0.100389122,24.34454819
2018,26.59101171,1001_BC_medium,1001,IPCC,-0.043947618,2018,299.985788,BC,medium,0.026496331,-0.070443949,-21.13218364
2019,26.75571017,1001_BC_medium,1001,IPCC,0.164698466,2019,335.1095626,BC,medium,0.026496331,0.138202134,46.31285678
