ECODISTRIC,month,pe,precip,temp
244,1,0,22.2,-21.7
244,2,0,16.7,-17
244,3,0,18.1,-9.5
244,5,78.55822,44.5,9.4
244,4,17.35716,19.3,1.9
244,6,123.65987,63.8,14.5
244,7,133.08404,75.9,16.4
244,8,104.53567,61.6,14.5
244,9,57.03091,42,8.7
244,10,8.73694,28.2,1.2
244,11,0,25.5,-12.3
244,12,0,20.2,-19.6
583,1,0,27.1,-18.6
583,2,0,23.6,-14.2
583,3,0,21.7,-7.4
583,4,23.00837,18.6,2.4
583,5,75.30328,42.3,8.6
583,6,110.97164,70.9,12.7
583,7,120.86191,81.2,14.7
583,8,99.02625,59.2,13.5
583,9,57.73191,38.6,8.4
583,10,17.44802,31.6,2.5
583,11,0,24.4,-9.2
583,12,0,25.5,-16.3
586,1,0,21.7,-21.8
586,2,0,17.6,-17.1
586,3,0,19.6,-9.7
586,4,21.15962,17.5,2.4
586,5,80.93622,36,9.8
586,6,121.12303,57.8,14.3
586,7,129.99687,65.6,16.2
586,8,101.96782,58.7,14.2
586,9,56.50066,32.4,8.6
586,10,12.83459,19.3,2
586,11,0,24.3,-10.9
586,12,0,20.9,-19.2
587,1,0,21.9,-21.9
587,2,0,17.2,-17.7
587,3,0,19.4,-10.2
587,4,17.44568,17.1,2
587,5,81.41877,39.6,9.9
587,6,121.96249,60.5,14.4
587,7,131.12076,63,16.4
587,8,102.07413,57.7,14.2
587,9,55.2231,33.7,8.4
587,10,10.90989,18.5,1.6
587,11,0,26,-11.9
587,12,0,21.2,-20
588,1,0,22.9,-20.4
588,2,0,19.7,-15.7
588,3,0,19.5,-9
588,4,20.40756,16.3,2.3
588,5,78.89495,39,9.5
588,6,115.37753,69.6,13.7
588,7,124.1546,75.8,15.5
588,8,100.69155,56.8,14
588,9,58.64231,40.6,8.9
588,10,16.07476,22,2.5
588,11,0,21.1,-9.8
588,12,0,20.8,-16.9
589,1,0,23.8,-20.5
589,2,0,20.5,-15.8
589,3,0,20.6,-9.3
589,4,20.16749,17.6,2.2
589,5,75.80819,51.1,8.9
589,6,114.61716,87.2,13.3
589,7,124.0598,89.9,15.3
589,8,100.72461,81,13.9
589,9,59.8677,42.8,9.1
589,10,15.30247,21.2,2.3
589,11,0,20.7,-9.9
589,12,0,21.4,-16.5
590,1,0,24.5,-17.5
590,2,0,20.6,-13.2
590,3,0,17.8,-7.3
590,4,24.30495,16.7,3
590,5,79.18932,38.1,9.8
590,6,114.55384,68.9,13.9
590,7,123.44565,71.3,15.7
590,8,101.28984,54.5,14.3
590,9,58.95082,40.7,9.2
590,10,20.04153,23.9,3.4
590,11,0,23.3,-8.3
590,12,0,22.1,-14.9
591,1,0,28.9,-15.9
591,2,0,23.4,-12
591,3,0,24.6,-5.9
591,4,24.79266,17.6,2.9
591,5,76.18205,43.1,9.2
591,6,111.25727,69.3,13.3
591,7,120.55989,75.8,15.2
591,8,100.37537,58,14
591,9,59.67773,43.5,9.1
591,10,21.27328,23.9,3.4
591,11,0,26.9,-7.5
591,12,0,27.8,-13.9
592,1,0,23.5,-16.5
592,2,0,18.4,-12.4
592,3,0,18.5,-5.8
592,4,26.77626,18.4,3.3
592,5,78.90942,37.6,9.9
592,6,111.65265,82.2,13.7
592,7,122.0221,80.5,15.7
592,8,101.32954,62,14.5
592,9,59.12708,47.9,9.3
592,10,22.2469,26.1,3.8
