"","ECODISTRIC","Province_ID","Texture","DeltaSOC_avg"
"1",244,"AB","fine",-0.0551441648787879
"2",244,"AB","medium",-0.0985138036666667
"3",244,"BC","fine",-0.214350153757576
"4",244,"BC","medium",-0.0693848165151515
"5",252,"BC","medium",-0.155056577424242
"6",371,"MB","fine",0.0419523189393939
"7",374,"ON","coarse",0.0416737264242424
"8",375,"MB","coarse",0.161303692939394
"9",375,"MB","fine",0.138701954060606
"10",375,"MB","medium",0.113615866333333
"11",376,"MB","medium",0.0716767036666667
"12",378,"ON","coarse",-0.002808576
"13",378,"ON","medium",0.0731825117878788
"14",379,"MB","coarse",0.208334622575758
"15",379,"MB","medium",0.0897809783333333
"16",380,"MB","coarse",0.23459263569697
"17",380,"MB","fine",0.129455662454545
"18",380,"MB","medium",0.108638565545455
"19",381,"ON","medium",0.174614846060606
"20",383,"ON","coarse",0.0685943776060606
"21",383,"ON","medium",0.110829782878788
"22",386,"ON","coarse",-0.00458682548484848
"23",391,"ON","coarse",0.0199529078787879
"24",400,"ON","fine",0.0822368793333333
"25",401,"ON","coarse",0.204072582242424
"26",401,"ON","fine",0.107418886787879
"27",401,"ON","medium",0.0142988430606061
"28",401,"QC","fine",0.223798274333333
"29",401,"QC","medium",0.161594910939394
"30",402,"ON","medium",0.203072217878788
"31",407,"ON","coarse",0.208992957212121
"32",407,"ON","fine",0.0576687868181818
"33",408,"ON","medium",0.0916348528181818
"34",408,"QC","coarse",0.158478801969697
"35",408,"QC","fine",0.100057415363636
"36",408,"QC","medium",0.0693229623939394
"37",408,"QC","na",0.304491420151515
"38",409,"ON","coarse",0.218550223151515
"39",409,"ON","medium",0.0832484502121212
"40",410,"ON","coarse",0.196906647333333
"41",410,"ON","medium",0.118307743393939
"42",411,"ON","coarse",0.119888162727273
"43",411,"ON","medium",0.0328126043030303
"44",412,"ON","fine",0.136713546
"45",412,"ON","medium",0.0680405333939394
"46",413,"ON","coarse",0.195835057818182
"47",413,"ON","fine",-0.0473943419393939
"48",413,"ON","medium",0.101248038575758
"49",415,"QC","coarse",0.325283295878788
"50",415,"QC","medium",0.228858624272727
"51",418,"QC","coarse",0.10835594069697
"52",418,"QC","fine",0.0289283880606061
"53",418,"QC","medium",0.143173365484848
"54",419,"QC","medium",0.199219064181818
"55",421,"QC","coarse",0.232870933333333
"56",421,"QC","medium",0.197722559515152
"57",422,"QC","coarse",0.651938042575758
"58",422,"QC","medium",0.157089072393939
"59",423,"QC","coarse",0.200563236515152
"60",424,"QC","coarse",0.134827945818182
"61",424,"QC","fine",0.232074915363636
"62",424,"QC","medium",0.183792500757576
"63",425,"QC","coarse",0.195580009848485
"64",425,"QC","fine",0.0415713933030303
"65",425,"QC","medium",0.206604554212121
"66",426,"QC","coarse",0.273783528727273
"67",426,"QC","medium",0.177485258666667
"68",431,"QC","medium",0.288496103515152
"69",438,"QC","coarse",0.296594706606061
"70",438,"QC","medium",0.310628420121212
"71",439,"QC","medium",0.193770332909091
"72",440,"QC","coarse",0.356171724393939
"73",440,"QC","medium",0.247508465878788
"74",441,"QC","coarse",0.258374674666667
"75",441,"QC","fine",0.314675175212121
"76",441,"QC","medium",0.0698728169393939
"77",441,"QC","na",0.0280793413333333
"78",455,"NF","coarse",0.383230858878788
"79",458,"NF","coarse",0.205991831606061
"80",458,"NF","medium",0.241229990272727
"81",460,"NF","medium",0.374778507151515
"82",461,"NF","medium",0.259092058878788
"83",462,"NF","medium",0.322954789636364
"84",463,"NF","medium",0.242133394727273
"85",466,"NF","medium",0.181918285969697
"86",468,"NF","medium",0.154876197939394
"87",471,"NF","coarse",0.111490097454545
"88",471,"NF","medium",0.196507508242424
"89",475,"NF","coarse",0.129536647545455
"90",475,"NF","medium",0.293542429848485
"91",477,"NF","coarse",0.344357583454545
"92",478,"QC","coarse",0.0434376886363636
"93",478,"QC","medium",0.0300804356666667
"94",478,"QC","na",0.0637726415454545
"95",479,"QC","coarse",0.0653476267575758
"96",479,"QC","fine",0.205842531575758
"97",479,"QC","medium",0.0178104732424242
"98",481,"QC","medium",0.00370059039393939
"99",482,"QC","coarse",0.215009949939394
"100",482,"QC","medium",0.0453596735757576
"101",482,"QC","na",0.0568677158787879
"102",483,"QC","coarse",0.214505136515152
"103",483,"QC","medium",0.320502535121212
"104",484,"NB","medium",0.082944129
"105",484,"QC","medium",-0.0335149301212121
"106",485,"NB","coarse",0.0702857844242424
"107",485,"NB","medium",0.0824211
"108",486,"NB","coarse",0.0468483383636364
"109",486,"NB","medium",0.0471654961212121
"110",487,"NB","coarse",0.0684408698181818
"111",487,"NB","medium",0.0869675176969697
"112",487,"QC","coarse",0.0261244429393939
"113",487,"QC","medium",0.0226600736969697
"114",488,"NB","coarse",0.141605725212121
"115",488,"NB","medium",0.176435820393939
"116",489,"NB","coarse",0.0100374488181818
"117",489,"NB","medium",0.173330608606061
