"","ECODISTRIC","Province_ID","Texture","DeltaSOC_avg"
"1",244,"AB","fine",-0.2572621364
"2",244,"AB","medium",-0.316465823
"3",244,"BC","fine",-0.121028692
"4",244,"BC","medium",0.0025392906
"5",252,"BC","medium",-0.0928693664
"6",371,"MB","fine",-0.016237391
"7",374,"ON","coarse",0.016980848
"8",375,"MB","coarse",0.2162838476
"9",375,"MB","fine",0.25473114
"10",375,"MB","medium",0.202114919
"11",376,"MB","medium",0.032480512
"12",378,"ON","coarse",0.0159091704
"13",378,"ON","medium",0.099027881
"14",379,"MB","coarse",0.24092773
"15",379,"MB","medium",0.1192250712
"16",380,"MB","coarse",0.27429033
"17",380,"MB","fine",0.173868126
"18",380,"MB","medium",0.1444467478
"19",381,"ON","medium",0.2894511068
"20",383,"ON","coarse",0.139701427
"21",383,"ON","medium",0.223636288
"22",386,"ON","coarse",-0.128678328
"23",391,"ON","coarse",-0.060365746
"24",400,"ON","fine",0.116691232
"25",401,"ON","coarse",0.236823168
"26",401,"ON","fine",0.149589732
"27",401,"ON","medium",0.0541531678
"28",401,"QC","fine",0.226311097
"29",401,"QC","medium",0.170296236
"30",402,"ON","medium",0.1802043764
"31",407,"ON","coarse",0.2432707346
"32",407,"ON","fine",0.09064423
"33",408,"ON","medium",0.061463264
"34",408,"QC","coarse",0.170370697
"35",408,"QC","fine",0.111659417
"36",408,"QC","medium",0.078463411
"37",408,"QC","na",0.325148455
"38",409,"ON","coarse",0.319982489
"39",409,"ON","medium",0.1728917042
"40",410,"ON","coarse",0.2252752408
"41",410,"ON","medium",0.163162548
"42",411,"ON","coarse",0.170633629
"43",411,"ON","medium",0.1038522096
"44",412,"ON","fine",0.239693827
"45",412,"ON","medium",0.183579705
"46",413,"ON","coarse",0.23734385
"47",413,"ON","fine",0.012111955
"48",413,"ON","medium",0.150797131
"49",415,"QC","coarse",0.300097728
"50",415,"QC","medium",0.200527371
"51",418,"QC","coarse",0.1101887316
"52",418,"QC","fine",0.009972616
"53",418,"QC","medium",0.144021787
"54",419,"QC","medium",0.244197662
"55",421,"QC","coarse",0.24209492
"56",421,"QC","medium",0.205256846
"57",422,"QC","coarse",0.651389185
"58",422,"QC","medium",0.120188463
"59",423,"QC","coarse",0.125183835
"60",424,"QC","coarse",0.099243471
"61",424,"QC","fine",0.153785129
"62",424,"QC","medium",0.130078685
"63",425,"QC","coarse",0.201302215
"64",425,"QC","fine",0.008643651
"65",425,"QC","medium",0.214464643
"66",426,"QC","coarse",0.255542846
"67",426,"QC","medium",0.148439414
"68",431,"QC","medium",0.221623812
"69",438,"QC","coarse",0.263755946
"70",438,"QC","medium",0.281954708
"71",439,"QC","medium",0.17038301
"72",440,"QC","coarse",0.368994925
"73",440,"QC","medium",0.251628668
"74",441,"QC","coarse",0.265412128
"75",441,"QC","fine",0.304092574
"76",441,"QC","medium",0.056928654
"77",441,"QC","na",0.0204952664
"78",455,"NF","coarse",0.308881851
"79",458,"NF","coarse",-0.010730165
"80",458,"NF","medium",-0.132717647
"81",460,"NF","medium",0.184686122
"82",461,"NF","medium",0.2895980298
"83",462,"NF","medium",0.304422271
"84",463,"NF","medium",0.148489104
"85",466,"NF","medium",0.0788196344
"86",468,"NF","medium",0.108408913
"87",471,"NF","coarse",0.019917878
"88",471,"NF","medium",0.126966874
"89",475,"NF","coarse",-0.197734181
"90",475,"NF","medium",0.057697611
"91",477,"NF","coarse",0.385238078
"92",478,"QC","coarse",0.070634578
"93",478,"QC","medium",0.064043986
"94",478,"QC","na",0.0983719182
"95",479,"QC","coarse",0.10432929
"96",479,"QC","fine",0.254464856
"97",479,"QC","medium",0.056901771
"98",481,"QC","medium",0.064526201
"99",482,"QC","coarse",0.220093236
"100",482,"QC","medium",0.03349283
"101",482,"QC","na",0.0522870484
"102",483,"QC","coarse",0.223356155
"103",483,"QC","medium",0.331536703
"104",484,"NB","medium",0.171170198
"105",484,"QC","medium",0.0019540328
"106",485,"NB","coarse",0.090236663
"107",485,"NB","medium",0.103743771
"108",486,"NB","coarse",0.031365959
"109",486,"NB","medium",0.01952126
"110",487,"NB","coarse",0.115210978
"111",487,"NB","medium",0.15232863
"112",487,"QC","coarse",0.042781413
"113",487,"QC","medium",0.0438689466
"114",488,"NB","coarse",0.283599549
"115",488,"NB","medium",0.338697377
"116",489,"NB","coarse",-0.016826704
"117",489,"NB","medium",0.142522072
"118",490,"NB","coarse",0.028290068
"119",490,"NB","medium",0.020413992
"120",493,"NB","coarse",0.016614373
"121",493,"NB","fine",0.053169448
