"","MAP_bin","MAT_bin","Cinput_bin","CARB30_bin","TEXCAT","mean_deltaSOC","median_deltaSOC","sd_deltaSOC","n"
"1",1,1,1,1,"coarse",0.042042571684238,0.058000689,0.097459239630638,1916
"2",1,1,1,1,"fine",0.0144564831005632,0.035879938,0.191599531214616,1243
"3",1,1,1,1,"medium",0.0428012960490633,0.061485888,0.144509632524596,2242
"4",1,1,1,2,"coarse",0.159913203518868,0.167568236,0.0827520217377515,106
"5",1,1,1,2,"fine",0.0801295884351464,0.112040588,0.180945408595578,239
"6",1,1,1,2,"medium",0.106207537669014,0.124559897,0.137517408222913,426
"7",1,1,1,3,"fine",0.13416825848,0.142436842,0.16594977361705,50
"8",1,1,2,1,"coarse",0.0992496206207407,0.111781436,0.0993680757921276,2700
"9",1,1,2,1,"fine",0.0688591307321678,0.083009953,0.206991075193634,1430
"10",1,1,2,1,"medium",0.104496333353903,0.1222245965,0.152191457777915,2972
"11",1,1,2,2,"coarse",0.206841642704312,0.214988058,0.102099569588133,487
"12",1,1,2,2,"fine",0.174435366930839,0.190509106,0.221127087752835,882
"13",1,1,2,2,"medium",0.190090750453488,0.2034878695,0.154815030140586,1290
"14",1,1,2,3,"fine",0.238457723716216,0.2607376385,0.18231799125081,148
"15",1,1,3,2,"coarse",0.359961521,0.359961521,NA,1
"16",1,1,3,2,"fine",0.630459434,0.630459434,NA,1
"17",1,2,1,1,"coarse",0.0406861181680961,0.041411065,0.0888623639887561,583
"18",1,2,1,1,"fine",0.0276464281351351,0.060647861,0.193723289480567,111
"19",1,2,1,1,"medium",0.0340592325062112,0.0404527145,0.132792931393903,644
"20",1,2,1,2,"coarse",0.0796773256,0.036549497,0.180806386005277,5
"21",1,2,1,2,"fine",0.042885292244898,0.044104875,0.197808010904452,49
"22",1,2,1,2,"medium",0.133521638194444,0.173005967,0.144304995757272,72
"23",1,2,2,1,"coarse",0.0694692930955166,0.066946833,0.114925498538065,513
"24",1,2,2,1,"fine",0.043170196775,0.049992005,0.18895321599947,120
"25",1,2,2,1,"medium",0.0597114959622047,0.061479579,0.148604759619884,635
"26",1,2,2,2,"coarse",0.161078906777778,0.14453761,0.16719334347855,27
"27",1,2,2,2,"fine",0.100526269207729,0.107416342,0.182544492901295,207
"28",1,2,2,2,"medium",0.162390090254777,0.175527492,0.126454099684497,157
"29",1,2,3,1,"coarse",0.197715169933333,0.1861673495,0.189015566998745,30
"30",1,2,3,1,"medium",0.253841998709677,0.214900921,0.204783486326586,31
"31",1,2,3,2,"coarse",0.340281512,0.340281512,NA,1
"32",1,2,3,2,"fine",0.143060003125,0.175810371,0.133052971699423,8
"33",1,2,3,2,"medium",0.127626668,0.127626668,0.0860604672718386,2
"34",2,1,1,1,"coarse",0.0520623506496437,0.057006315,0.0838150919780931,421
"35",2,1,1,1,"fine",-0.0695844795730337,-0.049225589,0.1936555979442,178
"36",2,1,1,1,"medium",0.0267293585654102,0.034235602,0.141700663432231,451
"37",2,1,1,2,"coarse",0.193550805069364,0.193894592,0.0975420787194623,173
"38",2,1,1,2,"fine",0.12536680678481,0.131057674,0.133222824878816,79
"39",2,1,1,2,"medium",0.16555613922108,0.165501346,0.115191220195497,389
"40",2,1,1,3,"coarse",0.337775070655172,0.334684785,0.0402554206954909,29
"41",2,1,1,3,"fine",0.273950631777778,0.253859054,0.10647695386567,9
"42",2,1,1,3,"medium",0.02642599,0.011210644,0.111984048819783,5
"43",2,1,1,4,"coarse",0.646942143333333,0.643582585,0.0459967661209948,24
"44",2,1,2,1,"coarse",0.101381230316633,0.101522473,0.10346111775783,499
"45",2,1,2,1,"fine",0.0122962865936396,0.030950326,0.224183052436302,283
"46",2,1,2,1,"medium",0.0761255908099547,0.091832089,0.170130912787216,663
