"","TEXCAT","MAP_bin","MAT_bin","Cinput_bin","CARB30_bin","mean_deltaSOC","median_deltaSOC","sd_deltaSOC","n"
"1","coarse",1,1,1,1,0.134966427167102,0.1253074525,0.122700364460026,1056
"2","coarse",1,1,1,2,0.451358160802326,0.389041973,0.170349909233421,86
"3","coarse",1,1,2,1,0.20904663422093,0.196567118,0.112588647798251,86
"4","coarse",1,2,1,1,0.0613926311610738,0.0603494315,0.0868283381809768,1192
"5","coarse",1,2,2,1,0.119309036996448,0.104960434,0.0863431236146851,563
"6","coarse",2,1,1,1,0.114279174395455,0.119492446,0.0933744223314644,132
"7","coarse",2,2,1,1,0.0623184249302326,0.059150867,0.091226664352531,129
"8","coarse",2,2,2,1,0.201631367884058,0.201337156,0.0941347590104805,69
"9","fine",1,1,1,1,0.0760329399509202,0.0696886075,0.126992115943634,326
"10","fine",1,1,1,2,0.314675175212121,0.329002854,0.108202062544851,33
"11","fine",1,1,2,1,0.0370563328378378,0.016889278,0.151869966578526,37
"12","fine",1,2,1,1,0.0320156635092166,0.0313272395,0.111273637310266,434
"13","fine",1,2,2,1,0.0957222860102302,0.091720119,0.105061214332101,391
"14","fine",2,1,1,1,0.103738151075758,0.0965083285,0.108583110766251,66
"15","fine",2,1,1,2,0.223798274333333,0.232725483,0.133675645762134,33
"16","fine",2,2,1,1,-0.0239904014565217,-0.015094,0.116668271292879,46
"17","fine",2,2,2,1,0.073082360815126,0.082932757,0.132436359413117,119
"18","medium",1,1,1,1,0.145451800774815,0.14478697,0.133511124823536,1350
"19","medium",1,1,1,2,0.360628131548387,0.348367538,0.0573293808658756,31
"20","medium",1,1,2,1,0.22118829773913,0.201781698,0.136390875603987,92
"21","medium",1,2,1,1,0.0343427011095532,0.037165995,0.124004419684595,1298
"22","medium",1,2,1,2,0.301522548,0.306536373,0.0823354115426769,20
"23","medium",1,2,2,1,0.0936677038878924,0.092971679,0.108800528581223,669
"24","medium",1,2,2,2,0.349702515307692,0.355901923,0.0466286341847557,13
"25","medium",2,1,1,1,0.0555121057077441,0.048031986,0.10832449101958,297
"26","medium",2,2,1,1,0.00241599519886364,0.004893048,0.145663523345217,176
"27","medium",2,2,2,1,0.0680587181688312,0.061966138,0.140831133990348,154
