"","TEXCAT","MAP_bin","MAT_bin","Cinput_bin","CARB30_bin","mean_deltaSOC","median_deltaSOC","sd_deltaSOC","n"
"1","coarse",1,1,1,1,0.0892655326075529,0.0967204375,0.108009744753566,5574
"2","coarse",1,1,1,2,0.350126744646465,0.304081941,0.128465770220453,99
"3","coarse",1,1,2,1,0.296947964666667,0.359961521,0.111061600618462,3
"4","coarse",1,2,1,1,0.0518715748784629,0.049413249,0.111943503015286,1119
"5","coarse",1,2,2,1,0.222117569925926,0.263132639,0.193674850582838,27
"6","coarse",2,1,1,1,0.208334622575758,0.197330108,0.0748155564578611,33
"7","coarse",2,2,1,1,0.0886733050515021,0.068900959,0.128547075306492,233
"8","coarse",2,2,2,1,0.154017678956522,0.156562377,0.112269008952808,23
"9","fine",1,1,1,1,0.057962928572558,0.074272764,0.214091707135333,3921
"10","fine",1,1,1,2,0.198460029813397,0.211182292,0.204928486230921,627
"11","fine",1,1,2,1,0.370167933,0.3240534135,0.147748460860077,6
"12","fine",1,2,1,1,0.0452445820853659,0.065361734,0.208359154795077,328
"13","fine",1,2,1,2,0.192863970575758,0.213661302,0.233169041828499,33
"14","fine",1,2,2,1,-0.0356541705,-0.0356541705,0.138445629577654,2
"15","fine",2,2,1,1,0.00508005778787879,-0.017042265,0.134338969154943,33
"16","fine",2,2,1,2,0.197269174354167,0.194784488,0.187411439137738,96
"17","fine",2,2,2,2,-0.102567308,-0.087648808,0.192270021345997,3
"18","medium",1,1,1,1,0.0883616263364764,0.104170457,0.160090629073486,7254
"19","medium",1,1,1,2,0.227368992617845,0.2363896225,0.142282955811789,594
"20","medium",1,1,2,1,0.2440904968,0.256611936,0.0681030906345541,5
"21","medium",1,2,1,1,0.0624856725136936,0.066734611,0.150947641636793,1351
"22","medium",1,2,2,1,0.28537435032,0.266007428,0.215737045989604,25
"23","medium",2,1,1,1,0.0897809783333333,0.070880204,0.104825102873032,33
"24","medium",2,2,1,1,0.0760306772093023,0.078384948,0.186947362486197,258
"25","medium",2,2,2,1,0.184871597166667,0.2259620305,0.328829056425013,6
